State_UT,District,Registration_Date,Year,Month,Vehicle_Category,Fuel_Type,Manufacturer,Monthly_EV_Registrations,Charging_Stations,Population
Chandigarh,Chandigarh,2021-05-18,2021,5,Bus,Battery Electric (BEV),Tata Motors,0,12.0,1200000
Gujarat,Surat,2020-05-13,2020,5,Car,Battery Electric (BEV),Tata Motors,1,71.0,71000000
Maharashtra,Nagpur,2024-07-11,2024,7,3W,Battery Electric (BEV),Kinetic Green,23,98.0,123000000
Tamil Nadu,Madurai,2024-12-04,2024,12,Commercial,Battery Electric (BEV),Ashok Leyland,7,163.0,77000000
Uttarakhand,Dehradun,2025-04-05,2025,4,3W,Battery Electric (BEV),Kinetic Green,1,43.0,11000000
Maharashtra,Pune,2020-09-22,2020,9,3W,Plug-in Hybrid (PHEV),Mahindra Electric,2,29.0,123000000
Uttar Pradesh,Noida,2022-01-24,2022,1,Commercial,Battery Electric (BEV),Ashok Leyland,13,100.0,231000000
West Bengal,Durgapur,2022-10-02,2022,10,3W,Battery Electric (BEV),Kinetic Green,8,42.0,99000000
Andhra Pradesh,Guntur,2023-07-03,2023,7,Bus,Battery Electric (BEV),PMI Electro,1,76.0,53000000
Jammu and Kashmir,Srinagar,2024-05-09,2024,5,Car,Plug-in Hybrid (PHEV),BYD,1,50.0,13000000
Uttarakhand,Dehradun,2022-08-19,2022,8,2W,Battery Electric (BEV),Okinawa Autotech,1,21.0,11000000
Maharashtra,Thane,2021-08-01,2021,8,Car,Battery Electric (BEV),Kia,5,84.0,123000000
Kerala,Thiruvananthapuram,2023-05-23,2023,5,2W,Plug-in Hybrid (PHEV),Okinawa Autotech,17,64.0,35000000
Odisha,Bhubaneswar,2024-09-03,2024,9,3W,Plug-in Hybrid (PHEV),Kinetic Green,2,23.0,46000000
Andhra Pradesh,Vijayawada,2021-09-08,2021,9,2W,Battery Electric (BEV),TVS Motor,5,50.0,53000000
Odisha,Bhubaneswar,2023-08-17,2023,8,Bus,Battery Electric (BEV),PMI Electro,0,38.0,46000000
Chhattisgarh,Raipur,2020-02-20,2020,2,2W,Battery Electric (BEV),Okinawa Autotech,1,17.0,30000000
Bihar,Patna,2021-08-22,2021,8,3W,Battery Electric (BEV),Mahindra Electric,2,9.0,128000000
Rajasthan,Jodhpur,2025-03-09,2025,3,Car,Plug-in Hybrid (PHEV),Hyundai,10,47.0,81000000
uttar pradesh,Noida,2024-06-17,2024,6,Bus,Battery Electric (BEV),Ashok Leyland,9,72.0,231000000
Telangana,Hyderabad,2019-10-17,2019,10,Bus,Battery Electric (BEV),Ashok Leyland,0,39.0,39000000
Delhi,East Delhi,2023-04-06,2023,4,3W,Battery Electric (BEV),Bajaj Auto,7,120.0,32000000
Madhya Pradesh,Jabalpur,2018-04-24,2018,4,2W,Battery Electric (BEV),TVS Motor,4,6.0,85000000
ODISHA,Cuttack,2023-07-21,2023,7,2W,Battery Electric (BEV),TVS Motor,8,29.0,46000000
Jharkhand,Dhanbad,2025-06-21,2025,6,2W,Battery Electric (BEV),Ather Energy,10,51.0,39000000
Madhya Pradesh,Gwalior,2023-11-05,2023,11,2W,Battery Electric (BEV),TVS Motor,29,44.0,85000000
Jammu and Kashmir,Jammu,2022-09-04,2022,9,3W,Battery Electric (BEV),YC Electric,0,20.0,13000000
Gujarat,Rajkot,2021-07-06,2021,7,Commercial,Battery Electric (BEV),Ashok Leyland,2,31.0,71000000
Gujarat,Surat,2018-08-22,2018,8,2W,Battery Electric (BEV),Hero Electric,7,27.0,71000000
Karnataka,Mysuru,2022-03-08,2022,3,Car,Battery Electric (BEV),Tata Motors,6,92.0,67000000
Uttar  Pradesh,Ghaziabad,2018-12-16,2018,12,2W,Battery Electric (BEV),Hero Electric,13,20.0,231000000
Goa,South Goa,2019-12-26,2019,12,Commercial,Plug-in Hybrid (PHEV),Tata Motors,0,7.0,1600000
Mahrashtra,Mumbai City,2025-06-01,2025,6,Car,Plug-in Hybrid (PHEV),Hyundai,23,99.0,123000000
Uttar Pradesh,Lucknow,2025-01-11,2025,1,Commercial,Battery Electric (BEV),Mahindra Electric,34,148.0,231000000
Telangana,,2022-09-21,2022,9,3W,,,5,,39000000
Kerala,Ernakulam,2022-03-21,2022,3,3W,Battery Electric (BEV),Piaggio,2,31.0,35000000
Gujarat,Surat,2024-11-24,2024,11,Car,Battery Electric (BEV),BYD,13,102.0,71000000
Chhattisgarh,Raipur,2019-02-04,2019,2,Bus,Plug-in Hybrid (PHEV),Tata Motors,0,8.0,30000000
Karnataka,Mysuru,2018-06-24,2018,6,Bus,Battery Electric (BEV),PMI Electro,0,20.0,67000000
Madhya Pradesh,Jabalpur,2020-08-03,2020,8,Car,Battery Electric (BEV),BYD,1,20.0,85000000
Delhi,New Delhi,2020-11-24,2020,11,Commercial,Battery Electric (BEV),Eicher Motors,0,68.0,32000000
Karnataka,Bengaluru Urban,2020-09-11,2020,9,2W,Battery Electric (BEV),TVS Motor,6,51.0,67000000
Haryana,Panipat,2022-09-10,2022,9,3W,Battery Electric (BEV),Bajaj Auto,1,29.0,30000000
Maharashtra,Nagpur,2024-11-10,2024,11,Bus,Battery Electric (BEV),Tata Motors,6,55.0,123000000
Goa,South Goa,2018-02-17,2018,2,3W,Battery Electric (BEV),YC Electric,0,10.0,1600000
Delhi,New Delhi,2019-04-04,2019,4,Bus,Plug-in Hybrid (PHEV),Ashok Leyland,0,26.0,32000000
Uttar Pradesh,Lucknow,2019-12-16,2019,12,2W,Battery Electric (BEV),TVS Motor,29,53.0,231000000
Telangana,Warangal,2023-05-22,2023,5,2W,Plug-in Hybrid (PHEV),Ola Electric,24,53.0,39000000
Telangana,Nizamabad,2019-11-22,2019,11,Commercial,Battery Electric (BEV),Tata Motors,0,22.0,39000000
Uttar Pradesh,Lucknow,2022-04-27,2022,4,Bus,Battery Electric (BEV),Ashok Leyland,7,45.0,231000000
Bihar,,2018-10-25,2018,10,3W,Battery Electric (BEV),Piaggio,0,2.0,128000000
Gujarat,Ahmedabad,2022-10-17,2022,10,3W,Plug-in Hybrid (PHEV),YC Electric,6,96.0,71000000
Odisha,Rourkela,2024-03-05,2024,3,Car,Battery Electric (BEV),Hyundai,3,49.0,46000000
Andhra Pradesh,Vijayawada,2019-01-21,2019,1,2W,Battery Electric (BEV),Hero Electric,3,18.0,53000000
Telangana,Warangal,2024-08-08,2024,8,Car,Battery Electric (BEV),Mahindra Electric,6,136.0,39000000
Madhya Pradesh,Bhopal,2021-12-16,2021,12,2W,Battery Electric (BEV),Hero Electric,13,55.0,85000000
Bihar,,2022-04-14,2022,4,Car,Battery Electric (BEV),Kia,3,21.0,128000000
Madhya Pradesh,Jabalpur,2024-04-12,2024,4,3W,Battery Electric (BEV),YC Electric,15,57.0,85000000
Rajasthan,Jaipur,2022-09-19,2022,9,Commercial,Battery Electric (BEV),Mahindra Electric,1,32.0,81000000
Rajasthan,Udaipur,2018-08-15,2018,8,3W,Battery Electric (BEV),Mahindra Electric,1,11.0,81000000
Chhattisgarh,Bhilai,2023-04-23,2023,4,Commercial,Battery Electric (BEV),Tata Motors,0,14.0,30000000
Assam,Silchar,2019-03-23,2019,3,Bus,Battery Electric (BEV),Tata Motors,0,0.0,35000000
Rajasthan,Kota,2024-10-12,2024,10,Commercial,Battery Electric (BEV),Ashok Leyland,3,83.0,81000000
Rajasthan,Udaipur,2018-10-08,2018,10,Commercial,Battery Electric (BEV),Ashok Leyland,0,11.0,81000000
West Bengal,Siliguri,2022-06-26,2022,6,Bus,Plug-in Hybrid (PHEV),Tata Motors,1,40.0,99000000
Uttar Pradesh,Varanasi,2023-01-07,2023,1,Bus,Battery Electric (BEV),Ashok Leyland,10,75.0,231000000
Bihar,Bhagalpur,2020-06-12,2020,6,Commercial,Battery Electric (BEV),Mahindra Electric,0,7.0,128000000
West Bengal,Howrah,2024-03-01,2024,3,3W,Battery Electric (BEV),Kinetic Green,19,77.0,99000000
Karnataka,Mysuru,2024-03-09,2024,3,3W,Battery Electric (BEV),Mahindra Electric,16 ,126.0,67000000
Haryana,Panipat,2024-04-18,2024,4,Car,Battery Electric (BEV),Mahindra Electric,3,41.0,30000000
Uttar Pradesh,Lucknow,2019-12-22,2019,12,3W,Battery Electric (BEV),Mahindra Electric,8,23.0,231000000
Jammu and Kashmir,Srinagar,2022-10-25,2022,10,2W,Battery Electric (BEV),TVS Motor,1,33.0,13000000
Tamil Nadu,Madurai,2023-03-04,2023,3,Commercial,Plug-in Hybrid (PHEV),Mahindra Electric,6,102.0,77000000
Kerala,Ernakulam,2022-07-17,2022,7,Bus,Battery Electric (BEV),Ashok Leyland,0,61.0,35000000
Assam,Silchar,2024-02-16,2024,2,3W,Battery Electric (BEV),Mahindra Electric,3,25.0,35000000
Madhya Pradesh,Jabalpur,2021-08-25,2021,8,2W,Battery Electric (BEV),Hero Electric,11,49.0,85000000
Andhra Pradesh,Guntur,2025-05-16,2025,5,2W,Battery Electric (BEV),Hero Electric,40,100.0,53000000
Rajasthan,Jaipur,2020-12-06,2020,12,Car,Battery Electric (BEV),Kia,1,25.0,81000000
Haryana,Gurugram,2024-03-01,2024,3,2W,Battery Electric (BEV),TVS Motor,15,51.0,30000000
Telangana,Hyderabad,2018-04-03,2018,4,2W,Battery Electric (BEV),Ather Energy,3,16.0,39000000
Himachal Pradesh,Shimla,2022-04-23,2022,4,3W,Battery Electric (BEV),YC Electric,0,21.0,7500000
Chandigarh,Chandigarh,2022-05-10,2022,5,Commercial,Battery Electric (BEV),Mahindra Electric,0 ,30.0,1200000
Punjab,Jalandhar,2024-04-16,2024,4,2W,Battery Electric (BEV),Ather Energy,18,71.0,30000000
Uttar Pradesh,Varanasi,2025-01-04,2025,1,Car,Battery Electric (BEV),Mahindra Electric,75,94.0,231000000
Andhra Pradesh,Guntur,2018-06-07,2018,6,3W,Battery Electric (BEV),YC Electric,0,9.0,53000000
Bihar,Gaya,2023-11-02,2023,11,3W,Battery Electric (BEV),Kinetic Green,5,26.0,128000000
Uttar Pradesh,Kanpur,2025-05-21,2025,5,Bus,Battery Electric (BEV),Olectra Greentech,8,129.0,231000000
Madhya Pradesh,Bhopal,2024-03-15,2024,3,Bus,Battery Electric (BEV),PMI Electro,3,73.0,85000000
Karnataka,Hubli,2024-08-26,2024,8,Bus,Battery Electric (BEV),Olectra Greentech,2,110.0,67000000
Assam,Silchar,2023-10-27,2023,10,3W,Battery Electric (BEV),Bajaj Auto,1,9.0,35000000
Assam,Silchar,2023-10-10,2023,10,2W,Battery Electric (BEV),Ather Energy,7,34.0,35000000
Maharashtra,Mumbai City,2025-06-26,2025,6,3W,Battery Electric (BEV),Kinetic Green,45,185.0,123000000
Jammu and Kashmir,Jammu,2018-10-21,2018,10,Car,Battery Electric (BEV),Hyundai,0,5.0,13000000
Assam,Dibrugarh,2021-08-19,2021,8,Commercial,Battery Electric (BEV),Ashok Leyland,0,24.0,35000000
Rajasthan,Jodhpur,2024-11-11,2024,11,Car,Battery Electric (BEV),Hyundai,8,42.0,81000000
Bihar,Patna,2023-11-15,2023,11,Car,Battery Electric (BEV),Tata Motors,5,41.0,128000000
Kerala,Kozhikode,2021-06-25,2021,6,Car,Battery Electric (BEV),MG Motor,1,26.0,35000000
Odisha,Cuttack,2021-04-17,2021,4,Car,Battery Electric (BEV),Kia,0,7.0,46000000
Maharashtra,Nagpur,2023-01-06,2023,1,Bus,Plug-in Hybrid (PHEV),PMI Electro,5,95.0,123000000
Uttar Pradesh,Noida,2021-06-21,2021,6,Bus,Battery Electric (BEV),Olectra Greentech,3,80.0,231000000
Telangana,Nizamabad,2024-05-07,2024,5,Commercial,Battery Electric (BEV),Eicher Motors,4,95.0,39000000
Andhra Pradesh,Vijayawada,2024-12-01,2024,12,3W,Battery Electric (BEV),YC Electric,8,89.0,53000000
West Bengal,Kolkata,2018-08-14,2018,8,Commercial,Battery Electric (BEV),Tata Motors,0,3.0,99000000
Gujarat,Rajkot,2023-10-12,2023,10,3W,Battery Electric (BEV),Kinetic Green,8,60.0,71000000
Uttar Pradesh,Varanasi,2022-12-08,2022,12,Commercial,Battery Electric (BEV),Eicher Motors,8,55.0,231000000
Gujarat,Surat,2019-03-06,2019,3,Car,Battery Electric (BEV),Mahindra Electric,2,40.0,71000000
West Bengal,Durgapur,2020-10-26,2020,10,2W,Battery Electric (BEV),Bajaj Auto,7,33.0,99000000
Andhra Pradesh,Visakhapatnam,2019-02-01,2019,2,3W,Battery Electric (BEV),Bajaj Auto,1,24.0,53000000
ODISHA,Rourkela,2019-08-25,2019,8,3W,Battery Electric (BEV),Bajaj Auto,0,10.0,46000000
Rajasthan,Jaipur,2025-03-07,2025,3,2W,Battery Electric (BEV),Ola Electric,44,46.0,81000000
Uttar Pradesh,Lucknow,2021-02-03,2021,2,2W,Battery Electric (BEV),Ola Electric,51,91.0,231000000
Karnataka,Bengaluru Urban,2020-09-20,2020,9,3W,Battery Electric (BEV),Bajaj Auto,1,31.0,67000000
Uttar Pradesh,Ghaziabad,2020-10-10,2020,10,2W,Battery Electric (BEV),Hero Electric,28,53.0,231000000
Telangana,Warangal,2022-05-03,2022,5,Car,Battery Electric (BEV),Tata Motors,3,69.0,39000000
West Bengal,Kolkata,2024-05-01,2024,5,Commercial,Battery Electric (BEV),Eicher Motors,5,42.0,99000000
Punjab,Ludhiana,2018-10-07,2018,10,Bus,Battery Electric (BEV),PMI Electro,0,7.0,30000000
Haryana,Faridabad,2021-05-17,2021,5,Bus,Battery Electric (BEV),Ashok Leyland,0,24.0,30000000
Odisha,Bhubaneswar,2023-06-05,2023,6,2W,Battery Electric (BEV),Okinawa Autotech,9,42.0,46000000
Gujarat,Rajkot,2019-08-03,2019,8,3W,Battery Electric (BEV),YC Electric,1,17.0,71000000
Mahrashtra,Nashik,2022-01-20,2022,1,2W,Battery Electric (BEV),Ather Energy,64,46.0,123000000
Madhya Pradesh,Bhopal,2022-06-03,2022,6,3W,Battery Electric (BEV),Kinetic Green,7,56.0,85000000
Bihar,Gaya,2019-03-16,2019,3,2W,Battery Electric (BEV),Hero Electric,4 ,12.0,128000000
Uttarakhand,Dehradun,2022-10-21,2022,10,Commercial,Battery Electric (BEV),Eicher Motors,0,29.0,11000000
Maharashtra,Mumbai City,2023-07-16,2023,7,2W,Battery Electric (BEV),Hero Electric,92,75.0,123000000
Chhattisgarh,Bilaspur,2023-08-17,2023,8,3W,Battery Electric (BEV),Piaggio,1,25.0,30000000
Maharashtra,Thane,2024-05-06,2024,5,Commercial,Battery Electric (BEV),Ashok Leyland,12,116.0,123000000
Punjab,Ludhiana,2018-12-17,2018,12,2W,Battery Electric (BEV),Okinawa Autotech,1,13.0,30000000
Punjab,Amritsar,2023-06-23,2023,6,2W,Plug-in Hybrid (PHEV),Okinawa Autotech,10,51.0,30000000
Andhra Pradesh,Vijayawada,2022-07-01,2022,7,2W,Battery Electric (BEV),Okinawa Autotech,11,41.0,53000000
Tamil Nadu,Madurai,2022-11-04,2022,11,3W,Battery Electric (BEV),Kinetic Green,8,70.0,77000000
Tamil Nadu,,2022-12-07,2022,12,2W,Plug-in Hybrid (PHEV),Hero Electric,21,,77000000
Bihar,Gaya,2019-05-02,2019,5,3W,Battery Electric (BEV),Piaggio,1,13.0,128000000
tamil nadu,Coimbatore,2024-04-12,2024,4,Bus,Battery Electric (BEV),Tata Motors,2,81.0,77000000
Chandigarh,Chandigarh,2018-02-11,2018,2,Bus,Plug-in Hybrid (PHEV),Olectra Greentech,0,6.0,1200000
Gujarat,Vadodara,2023-07-15,2023,7,3W,Battery Electric (BEV),Piaggio,12,79.0,71000000
Odisha,Cuttack,2022-05-12,2022,5,Car,Plug-in Hybrid (PHEV),Mahindra Electric,1,7.0,46000000
Delhi,North Delhi,2018-01-25,2018,1,2W,Battery Electric (BEV),Ola Electric,3,23.0,32000000
Madhya Pradesh,Jabalpur,2025-06-26,2025,6,Car,Battery Electric (BEV),MG Motor,15,96.0,85000000
Uttarakhand,Dehradun,2024-02-22,2024,2,2W,Battery Electric (BEV),TVS Motor,3,24.0,11000000
Delhi,New Delhi,2020-04-09,2020,4,2W,Battery Electric (BEV),Bajaj Auto,3,41.0,32000000
Chandigarh,Chandigarh,2020-06-06,2020,6,2W,Plug-in Hybrid (PHEV),Ola Electric,0,21.0,1200000
Delhi,East Delhi,2022-02-27,2022,2,2W,Plug-in Hybrid (PHEV),Hero Electric,17,119.0,32000000
New Delhi,New Delhi,2020-07-02,2020,7,Commercial,Battery Electric (BEV),Tata Motors,0,46.0,32000000
Gujarat,Ahmedabad,2022-06-15,2022,6,Car,Battery Electric (BEV),Kia,7,82.0,71000000
Telangana,Nizamabad,2023-08-08,2023,8,3W,Battery Electric (BEV),Kinetic Green,6,58.0,39000000
Punjab,Amritsar,2022-11-02,2022,11,Car,Battery Electric (BEV),Kia,1,44.0,30000000
Goa,North Goa,2024-08-24,2024,8,Car,Battery Electric (BEV),Mahindra Electric,0,45.0,1600000
Kerala,Thiruvananthapuram,2019-07-27,2019,7,Car,Battery Electric (BEV),Hyundai,0,20.0,35000000
Delhi,North Delhi,2025-01-20,2025,1,3W,Battery Electric (BEV),Bajaj Auto,9,77.0,32000000
Madhya Pradesh,Indore,2024-10-20,2024,10,3W,Battery Electric (BEV),Bajaj Auto,7,86.0,85000000
Telangana,Hyderabad,2019-10-13,2019,10,2W,Battery Electric (BEV),TVS Motor,5,30.0,39000000
Uttar Pradesh,Noida,2023-05-24,2023,5,Bus,Battery Electric (BEV),Tata Motors,7,146.0,231000000
Himachal Pradesh,Kangra,2025-01-25,2025,1,Commercial,Battery Electric (BEV),Tata Motors,0,48.0,7500000
Kerala,Thiruvananthapuram,2019-09-25,2019,9,Commercial,Battery Electric (BEV),Eicher Motors,0,25.0,35000000
Rajasthan,Jaipur,2020-04-23,2020,4,2W,Battery Electric (BEV),Ola Electric,7,19.0,81000000
Jharkhand,Jamshedpur,2025-05-09,2025,5,2W,Battery Electric (BEV),Hero Electric,15,22.0,39000000
Andhra Pradesh,Visakhapatnam,2019-01-22,2019,1,3W,Battery Electric (BEV),YC Electric,1,1.0,53000000
Gujarat,Rajkot,2022-03-16,2022,3,3W,Battery Electric (BEV),YC Electric,11,67.0,71000000
Madhya Pradesh,Bhopal,2018-01-11,2018,1,Car,Battery Electric (BEV),BYD,0,11.0,85000000
Rajasthan,Jaipur,2022-11-15,2022,11,Commercial,Battery Electric (BEV),Mahindra Electric,2,61.0,81000000
Jharkhand,Ranchi,2020-03-17,2020,3,Car,Plug-in Hybrid (PHEV),Hyundai,0,10.0,39000000
Jammu and Kashmir,Jammu,2019-04-23,2019,4,3W,Battery Electric (BEV),Kinetic Green,0,16.0,13000000
Maharashtra,Thane,2023-11-21,2023,11,Car,Battery Electric (BEV),Tata Motors,14,118.0,123000000
Mahrashtra,Mumbai City,2019-08-13,2019,8,Car,Battery Electric (BEV),Hyundai,2,30.0,123000000
Jammu and Kashmir,Srinagar,2018-06-06,2018,6,Car,Battery Electric (BEV),MG Motor,0,4.0,13000000
Chandigarh,Chandigarh,2022-04-24,2022,4,3W,Battery Electric (BEV),YC Electric,0,14.0,1200000
Maharashtra,Thane,2024-05-07,2024,5,Bus,Battery Electric (BEV),Ashok Leyland,4,67.0,123000000
Punjab,Amritsar,2023-02-24,2023,2,Car,Battery Electric (BEV),Tata Motors,3,85.0,30000000
Uttar Pradesh,Kanpur,2022-08-10,2022,8,3W,Battery Electric (BEV),Piaggio,23,115.0,231000000
Uttar Pradesh,Kanpur,2019-08-15,2019,8,3W,Battery Electric (BEV),Kinetic Green,10,39.0,231000000
Tamil Nadu,Chennai,2021-02-04,2021,2,3W,Battery Electric (BEV),Bajaj Auto,5,32.0,77000000
Telangana,Hyderabad,2021-04-16,2021,4,3W,Plug-in Hybrid (PHEV),Kinetic Green,3,49.0,39000000
West Bengal,Howrah,2023-06-08,2023,6,3W,Battery Electric (BEV),YC Electric,9,33.0,99000000
Bihar,Patna,2024-09-02,2024,9,Car,Battery Electric (BEV),BYD,5,35.0,128000000
Karnataka,Hubli,2021-06-08,2021,6,Commercial,Battery Electric (BEV),Mahindra Electric,0,99.0,67000000
west bengal,Kolkata,2022-04-04,2022,4,3W,Battery Electric (BEV),Bajaj Auto,6,65.0,99000000
Punjab,Amritsar,2023-11-08,2023,11,3W,Battery Electric (BEV),Mahindra Electric,2,64.0,30000000
Uttar Pradesh,Kanpur,2018-11-13,2018,11,Commercial,Battery Electric (BEV),Mahindra Electric,1,15.0,231000000
Bihar,Bhagalpur,2024-09-18,2024,9,Commercial,Battery Electric (BEV),Eicher Motors,4,32.0,128000000
Delhi,New Delhi,2023-01-03,2023,1,Commercial,Battery Electric (BEV),Mahindra Electric,2,91.0,32000000
Assam,Silchar,2025-03-05,2025,3,2W,Plug-in Hybrid (PHEV),TVS Motor,10,39.0,35000000
Bihar,Gaya,2025-05-09,2025,5,2W,Battery Electric (BEV),Bajaj Auto,38,49.0,128000000
West Bengal,Kolkata,2021-06-26,2021,6,2W,Battery Electric (BEV),Okinawa Autotech,9,7.0,99000000
Gujarat,Surat,2019-07-03,2019,7,2W,Battery Electric (BEV),TVS Motor,8,39.0,71000000
Goa,North Goa,2019-05-19,2019,5,Car,Battery Electric (BEV),Hyundai,0,10.0,1600000
Odisha,Rourkela,2022-07-18,2022,7,Car,Battery Electric (BEV),Hyundai,1,26.0,46000000
Haryana,Panipat,2024-02-02,2024,2,Car,Battery Electric (BEV),Mahindra Electric,5,70.0,30000000
Delhi,East Delhi,2021-11-04,2021,11,Car,Plug-in Hybrid (PHEV),Hyundai,1,3570.0,32000000
Tamil Nadu,,2021-08-19,2021,8,2W,Battery Electric (BEV),Bajaj Auto,16,,77000000
Jammu and Kashmir,Srinagar,2018-10-12,2018,10,2W,Battery Electric (BEV),Okinawa Autotech,0,8.0,13000000
Jammu and Kashmir,Jammu,2018-02-09,2018,2,Commercial,Battery Electric (BEV),Tata Motors,0,0.0,13000000
Goa,North Goa,2025-02-09,2025,2,Bus,Battery Electric (BEV),Olectra Greentech,0,49.0,1600000
Gujarat,Ahmedabad,2021-11-07,2021,11,2W,Plug-in Hybrid (PHEV),Ola Electric,16,47.0,71000000
Andhra Pradesh,Vijayawada,2025-03-26,2025,3,Car,Battery Electric (BEV),BYD,9,69.0,53000000
Karnataka,Mangaluru,2025-02-19,2025,2,Bus,Battery Electric (BEV),Ashok Leyland,5,102.0,67000000
Bihar,Patna,2022-10-15,2022,10,2W,Battery Electric (BEV),Ather Energy,13,17.0,128000000
Maharashtra,Nashik,2020-10-27,2020,10,2W,Battery Electric (BEV),TVS Motor,11,45.0,123000000
Tamil Nadu,Coimbatore,2023-08-02,2023,8,Commercial,Battery Electric (BEV),Tata Motors,4,62.0,77000000
Himachal Pradesh,Kangra,2023-01-19,2023,1,2W,Battery Electric (BEV),TVS Motor,2,24.0,7500000
Gujarat,Vadodara,2018-02-12,2018,2,Car,Battery Electric (BEV),Mahindra Electric,1,14.0,71000000
Madhya Pradesh,Indore,2023-06-19,2023,6,3W,Battery Electric (BEV),Mahindra Electric,9,86.0,85000000
Maharashtra,Pune,2022-06-03,2022,6,2W,Battery Electric (BEV),TVS Motor,75,113.0,123000000
Gujarat,Ahmedabad,2021-12-27,2021,12,Bus,Battery Electric (BEV),PMI Electro,0,71.0,71000000
Rajasthan,Jaipur,2020-04-21,2020,4,Car,Battery Electric (BEV),Mahindra Electric,1,26.0,81000000
Kerala,Ernakulam,2021-07-12,2021,7,3W,Battery Electric (BEV),Mahindra Electric,0,22.0,35000000
Rajasthan,Jaipur,2018-03-19,2018,3,Commercial,Battery Electric (BEV),Ashok Leyland,0,12.0,81000000
Rajasthan,Jaipur,2019-07-13,2019,7,2W,Battery Electric (BEV),Okinawa Autotech,5,12.0,81000000
Gujarat,Ahmedabad,2023-07-23,2023,7,Commercial,Battery Electric (BEV),Tata Motors,5,135.0,71000000
Karnataka,Mangaluru,2020-07-16,2020,7,Car,Battery Electric (BEV),MG Motor,1,70.0,67000000
Punjab,Jalandhar,2021-08-20,2021,8,2W,Battery Electric (BEV),Bajaj Auto,4,37.0,30000000
Delhi,South Delhi,2019-04-10,2019,4,3W,Battery Electric (BEV),Kinetic Green,1,23.0,32000000
Haryana,Gurugram,2020-06-26,2020,6,2W,Battery Electric (BEV),Bajaj Auto,2,28.0,30000000
Mahrashtra,Nagpur,2024-09-09,2024,9,3W,Battery Electric (BEV),Piaggio,28,102.0,123000000
Assam,Dibrugarh,2022-01-17,2022,1,Car,Battery Electric (BEV),Hyundai,1,6.0,35000000
Andhra Pradesh,Visakhapatnam,2025-01-20,2025,1,Bus,Battery Electric (BEV),Tata Motors,1,111.0,53000000
Haryana,Faridabad,2024-02-12,2024,2,2W,Battery Electric (BEV),Bajaj Auto,27,60.0,30000000
Gujarat,Ahmedabad,2018-01-04,2018,1,2W,Battery Electric (BEV),Ather Energy,6,14.0,71000000
Uttarakhand,Haridwar,2020-09-27,2020,9,Car,Battery Electric (BEV),BYD,0,8.0,11000000
Maharashtra,Nagpur,2023-08-11,2023,8,Commercial,Battery Electric (BEV),Ashok Leyland,8,57.0,123000000
Jharkhand,Ranchi,2020-07-08,2020,7,Bus,Battery Electric (BEV),PMI Electro,0,14.0,39000000
Kerala,Thiruvananthapuram,2019-09-18,2019,9,3W,Battery Electric (BEV),Piaggio,0,15.0,35000000
Rajasthan,Jaipur,2023-07-12,2023,7,Car,Battery Electric (BEV),Kia,6,79.0,81000000
Gujarat,Vadodara,2022-07-25,2022,7,Car,Battery Electric (BEV),Mahindra Electric,6,115.0,71000000
Assam,Dibrugarh,2025-01-01,2025,1,3W,Battery Electric (BEV),Kinetic Green,2,52.0,35000000
Telangana,Hyderabad,2023-01-19,2023,1,Car,Battery Electric (BEV),MG Motor,7,55.0,39000000
Chhattisgarh,Bhilai,2021-04-02,2021,4,Bus,Battery Electric (BEV),Olectra Greentech,0,27.0,30000000
Punjab,Jalandhar,2020-10-18,2020,10,Car,Battery Electric (BEV),Tata Motors,0,27.0,30000000
Himachal Pradesh,Shimla,2020-10-21,2020,10,3W,Battery Electric (BEV),Piaggio,0,6.0,7500000
Tamil Nadu,Chennai,2018-11-10,2018,11,Car,Battery Electric (BEV),Hyundai,1,29.0,77000000
Bihar,Gaya,2021-08-07,2021,8,2W,Battery Electric (BEV),Ather Energy,4,10.0,128000000
Assam,Dibrugarh,2022-08-03,2022,8,3W,Battery Electric (BEV),Kinetic Green,1,17.0,35000000
West Bengal,Durgapur,2019-02-12,2019,2,2W,Battery Electric (BEV),Okinawa Autotech,9,24.0,99000000
Kerala,Ernakulam,2021-12-01,2021,12,2W,Battery Electric (BEV),Hero Electric,4,34.0,35000000
Andhra Pradesh,Vijayawada,2022-07-16,2022,7,Commercial,Battery Electric (BEV),Tata Motors,1,75.0,53000000
Uttar Pradesh,Lucknow,2024-03-09,2024,3,2W,Battery Electric (BEV),Okinawa Autotech,363,154.0,231000000
Maharashtra,Nashik,2023-10-05,2023,10,3W,Battery Electric (BEV),Bajaj Auto,22,136.0,123000000
Maharashtra,Mumbai City,2025-05-06,2025,5,Commercial,Battery Electric (BEV),Tata Motors,11,159.0,123000000
Maharashtra,Nashik,2022-02-10,2022,2,3W,Battery Electric (BEV),Kinetic Green,12,67.0,123000000
Tamil Nadu,Salem,2020-10-06,2020,10,Car,Battery Electric (BEV),Tata Motors,1,43.0,77000000
Haryana,Gurugram,2019-12-08,2019,12,Car,Battery Electric (BEV),MG Motor,0,25.0,30000000
Haryana,Panipat,2022-03-27,2022,3,Car,Battery Electric (BEV),Tata Motors,3,54.0,30000000
Tamil Nadu,Coimbatore,2024-08-06,2024,8,3W,Battery Electric (BEV),Bajaj Auto,11,62.0,77000000
